tanggal;harga
2/1/2022;938
9/1/2022;934
16/01/2022;938
23/01/2022;945
30/01/2022;928
6/2/2022;935
13/02/2022;953
20/02/2022;969
27/02/2022;969
6/3/2022;1005
13/03/2022;1009
20/03/2022;984
27/03/2022;999
3/4/2022;985
10/4/2022;994
17/04/2022;1005
24/04/2022;989
1/5/2022;975
8/5/2022;977
15/05/2022;967
22/05/2022;984
29/05/2022;986
5/6/2022;979
12/6/2022;995
19/06/2022;999
26/06/2022;992
3/7/2022;991
10/7/2022;969
17/07/2022;962
24/07/2022;970
31/07/2022;982
7/8/2022;989
14/08/2022;990
21/08/2022;972
28/08/2022;964
4/9/2022;952
11/9/2022;947
18/09/2022;940
25/09/2022;932
2/10/2022;943
9/10/2022;949
16/10/2022;935
23/10/2022;945
30/10/2022;939
6/11/2022;954
13/11/2022;972
20/11/2022;978
27/11/2022;981
4/12/2022;998
11/12/2022;1007
18/12/2022;1008
25/12/2022;1006
1/1/2023;1026
8/1/2023;1032
15/01/2023;1043
22/01/2023;1035
29/01/2023;1029
5/2/2023;1014
12/2/2023;1028
19/02/2023;1022
26/02/2023;1012
5/3/2023;1025
12/3/2023;1049
19/03/2023;1088
26/03/2023;1089
2/4/2023;1072
9/4/2023;1074
16/04/2023;1067
23/04/2023;1062
30/04/2023;1056
7/5/2023;1059
14/05/2023;1060
21/05/2023;1056
28/05/2023;1048
4/6/2023;1057
11/6/2023;1062
18/06/2023;1063
25/06/2023;1047
2/7/2023;1049
9/7/2023;1059
16/07/2023;1074
23/07/2023;1072
30/07/2023;1071
6/8/2023;1074
13/08/2023;1062
20/08/2023;1057
27/08/2023;1065
3/9/2023;1076
10/9/2023;1069
17/09/2023;1075
24/09/2023;1079
1/10/2023;1049
8/10/2023;1047
15/10/2023;1088
22/10/2023;1121
29/10/2023;1136
5/11/2023;1125
12/11/2023;1084
19/11/2023;1100
26/11/2023;1110
3/12/2023;1130
10/12/2023;1107
17/12/2023;1114
24/12/2023;1132
31/12/2023;1130
7/1/2024;1128
14/01/2024;1131
21/01/2024;1128
28/01/2024;1132
4/2/2024;1142
11/2/2024;1135
18/02/2024;1124
25/02/2024;1136
3/3/2024;1164
10/3/2024;1208
17/03/2024;1193
24/03/2024;1203
31/03/2024;1249
7/4/2024;1299
14/04/2024;1310
21/04/2024;1347
28/04/2024;1326
5/5/2024;1313
12/5/2024;1333
19/05/2024;1350
26/05/2024;1325
2/6/2024;1336
9/6/2024;1328
16/6/2024;1347
23/6/2024;1357
