tanggal;harga
1/1/2022;851940
1/8/2022;851275
1/16/2022;861966
1/24/2022;872849
1/31/2022;850368
2/7/2022;859669
2/13/2022;867764
2/20/2022;892045
2/27/2022;907282
3/6/2022;927687
3/13/2022;932580
3/20/2022;913023
3/27/2022;924946
4/3/2022;926202
4/10/2022;924070
4/17/2022;939936
4/24/2022;930183
5/1/2022;915863
5/8/2022;915882
5/15/2022;903935
5/22/2022;914855
5/29/2022;919724
6/5/2022;915800
6/12/2022;916025
6/19/2022;928499
6/26/2022;926004
7/3/2022;914801
7/10/2022;898016
7/17/2022;890803
7/24/2022;897096
7/31/2022;904344
8/7/2022;921229
8/14/2022;915222
8/21/2022;898933
8/28/2022;897649
9/4/2022;883071
9/11/2022;890251
9/18/2022;876362
9/25/2022;879339
10/2/2022;881324
10/9/2022;892856
10/16/2022;881992
10/23/2022;879347
10/30/2022;885456
11/6/2022;881525
11/13/2022;913657
11/20/2022;922765
11/27/2022;914783
12/4/2022;932548
12/11/2022;933595
12/18/2022;934589
12/25/2022;937479
1/1/2023;952307
1/8/2023;957461
1/15/2023;975052
1/22/2023;974097
1/29/2023;965381
2/5/2023;964374
2/12/2023;964145
2/19/2023;954203
2/26/2023;951301
3/5/2023;963076
3/12/2023;968087
3/19/2023;992023
3/26/2023;1014590
4/2/2023;1012720
4/9/2023;1012845
4/16/2023;1016705
4/23/2023;999995
4/30/2023;999690
5/7/2023;1014774
5/14/2023;1002878
5/21/2023;986045
5/28/2023;982109
6/4/2023;992881
6/11/2023;999644
6/18/2023;998700
6/25/2023;986750
7/2/2023;991662
7/9/2023;988812
7/16/2023;1011684
7/23/2023;1008784
7/30/2023;1002829
8/6/2023;1004732
8/13/2023;997832
8/20/2023;994764
8/27/2023;1003710
9/3/2023;1010703
9/10/2023;1005655
9/17/2023;1004699
9/24/2023;1007837
10/1/2023;989624
10/8/2023;979769
10/15/2023;1007886
10/22/2023;1033908
10/29/2023;1034000
11/5/2023;1033814
11/12/2023;1021802
11/19/2023;1024804
11/26/2023;1033779
12/3/2023;1044843
12/10/2023;1045564
12/17/2023;1054461
12/24/2023;1056567
12/31/2023;1059487
1/7/2024;1054588
1/14/2024;1053627
1/21/2024;1054541
1/28/2024;1058515
2/4/2024;1079165
2/11/2024;1065311
2/18/2024;1047641
2/25/2024;1061453
3/3/2024;1070578
3/10/2024;1130686
3/17/2024;1120866
3/24/2024;1137664
3/31/2024;1156355
4/7/2024;1213004
4/14/2024;1213324
4/21/2024;1277535
4/28/2024;1252738
5/5/2024;1251373
5/12/2024;1260655
5/19/2024;1275576
5/26/2024;1258470
6/2/2024;1270420
6/9/2024;1296941
6/16/2024;1266691
6/23/2024;1303058
